"Lietuvos socialdemokratų partijos frakcija, Darbo partijos  frakcija, Naujosios sąjungos (socialliberalų) frakcija, Valstiečių liaudininkų frakcija, Valstiečių ir Naujosios demokratijos frakcija",2004-11-15,2006-06-01,5,1,1
"Lietuvos socialdemokratų partijos frakcija, Valstiečių liaudininkų frakcija, Pilietinės demokratijos frakcija, Liberalų ir centro sąjungos frakcija, Valstiečių liaudininkų ir pilietinės demokratijos frakcija",2006-06-02,2008-11-16,5,2,2
"Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija, Liberalų  sąjūdžio frakcija, ""Ąžuolo"" frakcija, Jungtinė (Liberalų ir centro sąjungos ir Tautos prisikėlimo partijos) frakcija, Liberalų ir centro sąjungos frakcija Tautos prisikėlimo partijos frakcija, Frakcija ""Viena Lietuva"", Krikščionių partijos frakcija",2008-11-17,2012-11-14,6,3,3
"Lietuvos socialdemokratų partijos frakcija, Darbo partijos  frakcija, Frakcija ""Tvarka ir teisingumas"", Lietuvos lenkų rinkimų akcijos frakcija",2012-11-16,2014-08-25,7,4,4
"Lietuvos socialdemokratų partijos frakcija, Darbo partijos  frakcija, Frakcija ""Tvarka ir teisingumas""",2014-08-26,2016-11-10,7,4,5
"Lietuvos valstiečių ir žaliųjų sąjungos frakcija, Lietuvos socialdemokratų partijos frakcija",2016-11-14,2018-09-10,8,5,6
"Lietuvos valstiečių ir žaliųjų sąjungos frakcija, Lietuvos socialdemokratų darbo frakcija, Frakcija ""Tvarka ir teisingumas""",2018-09-11,2019-07-04,8,5,7
"Lietuvos valstiečių ir žaliųjų sąjungos frakcija, Lietuvos socialdemokratų darbo frakcija, Frakcija ""Tvarka ir teisingumas (Suvereni Lietuva)"", Lietuvos lenkų rinkimų akcijos-Krikščioniškų šeimų sąjungos frakcija",2019-07-05,2019-09-18,8,5,8
"Lietuvos valstiečių ir žaliųjų sąjungos frakcija, Lietuvos socialdemokratų darbo frakcija, Frakcija ""Tvarka ir teisingumas (Suvereni Lietuva)"", Lietuvos lenkų rinkimų akcijos-Krikščioniškų šeimų sąjungos frakcija, Frakcija ""Lietuvos gerovei""",2019-09-19,2020-11-10,8,5,9
"Laisvės frakcija, Liberalų  sąjūdžio frakcija, Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija",2020-11-13,2023-12-15,9,6,10
